date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:15:15	25344/25344	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Nov%202018%2017:41:58%20GMT	https://preview.uideck.com/items/inspire-lite/index.html	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/index.html	(from )
11:15:16	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%22592b3107-1a%22	https://preview.uideck.com/robots.txt		(from )
11:15:16	140930/140930	---MCZ	200	added ('OK')	text/css	etag:W/%225be7177f-22682%22	https://preview.uideck.com/items/inspire-lite/assets/css/bootstrap.min.css	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/assets/css/bootstrap.min.css	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:16	12093/12093	---MCZ	200	added ('OK')	text/css	etag:W/%225be71857-39be%22	https://preview.uideck.com/items/inspire-lite/assets/fonts/line-icons.css	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/assets/fonts/line-icons.css	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:16	426/426	---MCZ	200	added ('OK')	text/css	etag:W/%225be71818-1b1%22	https://preview.uideck.com/items/inspire-lite/assets/plugins/morris/morris.css	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/assets/plugins/morris/morris.css	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:16	44634/44634	---MCZ	200	added ('OK')	text/css	etag:W/%225be71780-d36b%22	https://preview.uideck.com/items/inspire-lite/assets/css/main.css	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/assets/css/main.css	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:17	3359/3359	---MCZ	200	added ('OK')	text/css	etag:W/%225be71781-1235%22	https://preview.uideck.com/items/inspire-lite/assets/css/responsive.css	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/assets/css/responsive.css	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:17	18264/18264	---M--	200	added ('OK')	image/png	etag:%225be71853-4758%22	https://preview.uideck.com/items/inspire-lite/assets/img/logo.png	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/assets/img/logo.png	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:17	1117/1117	---M--	200	added ('OK')	image/png	etag:%225be71855-45d%22	https://preview.uideck.com/items/inspire-lite/assets/img/logo-text.png	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/assets/img/logo-text.png	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:17	4856/4856	---M--	200	added ('OK')	image/jpeg	etag:%225be71841-12f8%22	https://preview.uideck.com/items/inspire-lite/assets/img/users/avatar-1.jpg	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/assets/img/users/avatar-1.jpg	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:18	3885/3885	---M--	200	added ('OK')	image/jpeg	etag:%225be71842-f2d%22	https://preview.uideck.com/items/inspire-lite/assets/img/users/avatar-2.jpg	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/assets/img/users/avatar-2.jpg	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:18	3887/3887	---M--	200	added ('OK')	image/jpeg	etag:%225be71843-f2f%22	https://preview.uideck.com/items/inspire-lite/assets/img/users/avatar-3.jpg	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/assets/img/users/avatar-3.jpg	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:18	78151/78151	---M--	200	added ('OK')	image/jpeg	etag:%225be7184d-13147%22	https://preview.uideck.com/items/inspire-lite/assets/img/avatar/avatar.jpg	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/assets/img/avatar/avatar.jpg	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:18	26642/26642	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Nov%202018%2017:42:00%20GMT	https://preview.uideck.com/items/inspire-lite/email.html	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/email.html	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:19	17098/17098	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Nov%202018%2017:42:07%20GMT	https://preview.uideck.com/items/inspire-lite/alert.html	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/alert.html	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:19	15136/15136	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Nov%202018%2017:41:57%20GMT	https://preview.uideck.com/items/inspire-lite/badge.html	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/badge.html	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:19	18613/18613	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Nov%202018%2017:41:56%20GMT	https://preview.uideck.com/items/inspire-lite/buttons.html	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/buttons.html	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:20	22131/22131	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Nov%202018%2017:42:02%20GMT	https://preview.uideck.com/items/inspire-lite/accordion.html	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/accordion.html	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:20	18928/18928	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Nov%202018%2017:42:06%20GMT	https://preview.uideck.com/items/inspire-lite/carousel.html	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/carousel.html	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:20	29199/29199	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Nov%202018%2017:42:10%20GMT	https://preview.uideck.com/items/inspire-lite/dropdown.html	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/dropdown.html	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:21	60481/60481	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Nov%202018%2017:42:07%20GMT	https://preview.uideck.com/items/inspire-lite/line-icons.html	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/line-icons.html	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:21	95758/95758	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Nov%202018%2017:42:09%20GMT	https://preview.uideck.com/items/inspire-lite/fontawesome-icons.html	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/fontawesome-icons.html	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:21	24588/24588	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Nov%202018%2017:42:11%20GMT	https://preview.uideck.com/items/inspire-lite/form-elements.html	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/form-elements.html	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:22	22461/22461	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Nov%202018%2017:42:03%20GMT	https://preview.uideck.com/items/inspire-lite/basic-table.html	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/basic-table.html	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:22	15012/15012	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Nov%202018%2017:42:04%20GMT	https://preview.uideck.com/items/inspire-lite/charts-morris.html	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/charts-morris.html	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:22	14443/14443	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Nov%202018%2017:42:12%20GMT	https://preview.uideck.com/items/inspire-lite/google-map.html	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/google-map.html	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:22	23115/23115	---M--	200	added ('OK')	image/png	etag:%225be7184e-5a4b%22	https://preview.uideck.com/items/inspire-lite/assets/img/avatar/user1.png	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/assets/img/avatar/user1.png	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:23	21972/21972	---M--	200	added ('OK')	image/png	etag:%225be7184c-55d4%22	https://preview.uideck.com/items/inspire-lite/assets/img/avatar/user2.png	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/assets/img/avatar/user2.png	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:23	24007/24007	---M--	200	added ('OK')	image/png	etag:%225be7184c-5dc7%22	https://preview.uideck.com/items/inspire-lite/assets/img/avatar/user3.png	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/assets/img/avatar/user3.png	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:23	21857/21857	---M--	200	added ('OK')	image/png	etag:%225be71850-5561%22	https://preview.uideck.com/items/inspire-lite/assets/img/avatar/user4.png	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/assets/img/avatar/user4.png	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:23	21478/21478	---M--	200	added ('OK')	image/jpeg	etag:%225be71852-53e6%22	https://preview.uideck.com/items/inspire-lite/assets/img/event/img-1.jpg	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/assets/img/event/img-1.jpg	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:24	18690/18690	---M--	200	added ('OK')	image/jpeg	etag:%225be71851-4902%22	https://preview.uideck.com/items/inspire-lite/assets/img/event/img-2.jpg	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/assets/img/event/img-2.jpg	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:24	84345/84345	---MCZ	200	added ('OK')	application/javascript	etag:W/%225be71824-14979%22	https://preview.uideck.com/items/inspire-lite/assets/js/jquery-min.js	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/assets/js/jquery-min.js	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:24	19038/19038	---MCZ	200	added ('OK')	application/javascript	etag:W/%225be71826-4a5e%22	https://preview.uideck.com/items/inspire-lite/assets/js/popper.min.js	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/assets/js/popper.min.js	(from https://preview.uideck.com/items/inspire-lite/index.html)
11:15:24	50731/50731	---MCZ	200	added ('OK')	application/javascript	etag:W/%225be71821-c62b%22	https://preview.uideck.com/items/inspire-lite/assets/js/bootstrap.min.js	D:/bourguiba/web/back/preview.uideck.com/items/inspire-lite/assets/js/bootstrap.min.js	(from https://preview.uideck.com/items/inspire-lite/index.html)
